user,text,favorite_count,retweet_count,created_at
elonmusk,I instantly lose respect for anyone who posts on LinkedIn. Unbearably cringe. https://t.co/tuCWhXYGOI,54199,4935,2024-11-22 19:48:49+00:00
elonmusk,@DonaldJTrumpJr 😂,3410,159,2024-11-22 19:36:45+00:00
elonmusk,https://t.co/bi1kHI4vJK,52099,5151,2024-11-22 19:34:49+00:00
elonmusk,@greg_price11 @MikeJohnstonCO The mayor of Denver hates his constituents,1622,217,2024-11-22 19:34:28+00:00
elonmusk,@AlexFinnX 🤣🤣,1140,45,2024-11-22 19:25:01+00:00
elonmusk,"The most entertaining outcome, especially if ironic, is most likely 😂 https://t.co/YX2EznXfoF",90531,10214,2024-11-22 19:20:04+00:00
elonmusk,Saturn V and Shuttle for scale https://t.co/Mxe3Gkskij,25655,3278,2024-11-22 19:17:56+00:00
elonmusk,@GailAlfarATX Yeah,519,21,2024-11-22 19:17:29+00:00
elonmusk,@TheRabbitHole84 Nope,916,45,2024-11-22 19:17:13+00:00
elonmusk,@cars4free @Grummz Cool,361,19,2024-11-22 19:16:47+00:00
elonmusk,@BillyM2k 🔥🔥😎😎,726,38,2024-11-22 19:14:53+00:00
elonmusk,@notch 😂,381,10,2024-11-22 19:13:50+00:00
elonmusk,"The legacy media lied to the people of Norway and many other countries.

Forward https://t.co/bOUOek6al6 links to friends &amp; family, so they know what’s really going on! https://t.co/LBHz86NJl1",25697,4683,2024-11-22 19:12:22+00:00
elonmusk,What is happening in Britain!? https://t.co/2QmYZEypF2,50144,7651,2024-11-22 19:10:29+00:00
elonmusk,"@ajtourville Well then, they should launch more satellites 😂

What’s holding them back? Do it.",2277,201,2024-11-22 19:09:13+00:00
elonmusk,@peterrhague 😂,404,13,2024-11-22 19:08:17+00:00
elonmusk,@DonaldJTrumpJr How much does it cost?,39737,3775,2024-11-22 19:07:33+00:00
elonmusk,@DonaldJTrumpJr 😂,2584,90,2024-11-22 19:07:19+00:00
elonmusk,Starlink Mini gives you super fast Internet almost anywhere in the world and fits in a backpack https://t.co/FdOv6ZcDZz,18391,2249,2024-11-22 19:06:05+00:00
elonmusk,@stclairashley Wow 😬,1183,82,2024-11-22 17:12:55+00:00
elonmusk,@BasedBeffJezos Yes,535,21,2024-11-22 17:06:43+00:00
elonmusk,Yes https://t.co/5suf8GYVCo,24909,4900,2024-11-22 17:06:10+00:00
elonmusk,@TheChiefNerd Exactly,1096,86,2024-11-22 17:05:15+00:00
elonmusk,Hot staging &amp; boostback burn https://t.co/HFThET0jdn,21267,2834,2024-11-22 17:04:43+00:00
elonmusk,Same https://t.co/vtz7gjwOYE,92520,6019,2024-11-22 17:02:28+00:00
elonmusk,"Over 10,000% … @DOGE is sorely needed! https://t.co/2IlINgQZHI",44875,9609,2024-11-22 17:01:57+00:00
elonmusk,@twatterbaas Terrible,819,54,2024-11-22 16:58:52+00:00
elonmusk,@iamyesyouareno 😂💯,771,44,2024-11-22 16:57:23+00:00
elonmusk,@WilliamShatner 😂,599,24,2024-11-22 16:57:01+00:00
